season,farm,"
Site","
type_forest ","
distan_Forest ","
replication","
rep_time","
mort_factor","
prob_mortality         "
19_20,Palmital,8,Galeria,5,1,1,Pred,"0,224"
19_20,Palmital,8,Galeria,5,1,1,Dessic,"0,020"
19_20,Palmital,8,Galeria,5,1,1,Infert,"0,000"
19_20,Palmital,8,Galeria,5,1,1,Dislodg,"0,000"
19_20,Palmital,8,Galeria,5,1,1,Unknown,"0,000"
19_20,Palmital,8,Galeria,100,1,1,Pred,"0,204"
19_20,Palmital,8,Galeria,100,1,1,Dessic,"0,013"
19_20,Palmital,8,Galeria,100,1,1,Infert,"0,000"
19_20,Palmital,8,Galeria,100,1,1,Dislodg,"0,000"
19_20,Palmital,8,Galeria,100,1,1,Unknown,"0,000"
19_20,Palmital,6,Galeria,5,2,1,Pred,"1,000"
19_20,Palmital,6,Galeria,5,2,1,Dessic,"0,000"
19_20,Palmital,6,Galeria,5,2,1,Infert,"0,000"
19_20,Palmital,6,Galeria,5,2,1,Dislodg,"0,000"
19_20,Palmital,6,Galeria,5,2,1,Unknown,"0,000"
19_20,Palmital,6,Galeria,100,2,1,Pred,"0,000"
19_20,Palmital,6,Galeria,100,2,1,Dessic,"0,118"
19_20,Palmital,6,Galeria,100,2,1,Infert,"0,059"
19_20,Palmital,6,Galeria,100,2,1,Dislodg,"0,000"
19_20,Palmital,6,Galeria,100,2,1,Unknown,"0,298"
19_20,Rodrigo,7,Galeria,5,3,1,Pred,"0,224"
19_20,Rodrigo,7,Galeria,5,3,1,Dessic,"0,139"
19_20,Rodrigo,7,Galeria,5,3,1,Infert,"0,000"
19_20,Rodrigo,7,Galeria,5,3,1,Dislodg,"0,000"
19_20,Rodrigo,7,Galeria,5,3,1,Unknown,"0,000"
19_20,Rodrigo,7,Galeria,100,3,1,Pred,"0,000"
19_20,Rodrigo,7,Galeria,100,3,1,Dessic,"0,110"
19_20,Rodrigo,7,Galeria,100,3,1,Infert,"0,017"
19_20,Rodrigo,7,Galeria,100,3,1,Dislodg,"0,000"
19_20,Rodrigo,7,Galeria,100,3,1,Unknown,"0,068"
19_20,Palmital,8,Galeria,5,1,2,Pred,"0,714"
19_20,Palmital,8,Galeria,5,1,2,Dessic,"0,000"
19_20,Palmital,8,Galeria,5,1,2,Infert,"0,286"
19_20,Palmital,8,Galeria,5,1,2,Dislodg,"0,000"
19_20,Palmital,8,Galeria,5,1,2,Unknown,"0,000"
19_20,Palmital,8,Galeria,100,1,2,Pred,"0,000"
19_20,Palmital,8,Galeria,100,1,2,Dessic,"0,364"
19_20,Palmital,8,Galeria,100,1,2,Infert,"0,156"
19_20,Palmital,8,Galeria,100,1,2,Dislodg,"0,000"
19_20,Palmital,8,Galeria,100,1,2,Unknown,"0,000"
19_20,Palmital,6,Galeria,5,2,2,Pred,"0,764"
19_20,Palmital,6,Galeria,5,2,2,Dessic,"0,000"
19_20,Palmital,6,Galeria,5,2,2,Infert,"0,000"
19_20,Palmital,6,Galeria,5,2,2,Dislodg,"0,000"
19_20,Palmital,6,Galeria,5,2,2,Unknown,"0,000"
19_20,Palmital,6,Galeria,100,2,2,Pred,"0,199"
19_20,Palmital,6,Galeria,100,2,2,Dessic,"0,303"
19_20,Palmital,6,Galeria,100,2,2,Infert,"0,127"
19_20,Palmital,6,Galeria,100,2,2,Dislodg,"0,081"
19_20,Palmital,6,Galeria,100,2,2,Unknown,"0,020"
19_20,Rodrigo,7,Galeria,5,3,2,Pred,"0,401"
19_20,Rodrigo,7,Galeria,5,3,2,Dessic,"0,000"
19_20,Rodrigo,7,Galeria,5,3,2,Infert,"0,000"
19_20,Rodrigo,7,Galeria,5,3,2,Dislodg,"0,000"
19_20,Rodrigo,7,Galeria,5,3,2,Unknown,"0,000"
19_20,Rodrigo,7,Galeria,100,3,2,Pred,"0,000"
19_20,Rodrigo,7,Galeria,100,3,2,Dessic,"0,000"
19_20,Rodrigo,7,Galeria,100,3,2,Infert,"0,381"
19_20,Rodrigo,7,Galeria,100,3,2,Dislodg,"0,000"
19_20,Rodrigo,7,Galeria,100,3,2,Unknown,"0,619"
19_20,Saojose,1,Plateau,5,1,1,Pred,"0,655"
19_20,Saojose,1,Plateau,5,1,1,Dessic,"0,090"
19_20,Saojose,1,Plateau,5,1,1,Infert,"0,000"
19_20,Saojose,1,Plateau,5,1,1,Dislodg,"0,000"
19_20,Saojose,1,Plateau,5,1,1,Unknown,"0,000"
19_20,Saojose,1,Plateau,100,1,1,Pred,"1,000"
19_20,Saojose,1,Plateau,100,1,1,Dessic,"0,000"
19_20,Saojose,1,Plateau,100,1,1,Infert,"0,000"
19_20,Saojose,1,Plateau,100,1,1,Dislodg,"0,000"
19_20,Saojose,1,Plateau,100,1,1,Unknown,"0,000"
19_20,Saojose,2,Plateau,5,2,1,Pred,"0,151"
19_20,Saojose,2,Plateau,5,2,1,Dessic,"0,077"
19_20,Saojose,2,Plateau,5,2,1,Infert,"0,000"
19_20,Saojose,2,Plateau,5,2,1,Dislodg,"0,000"
19_20,Saojose,2,Plateau,5,2,1,Unknown,"0,000"
19_20,Saojose,2,Plateau,100,2,1,Pred,"0,586"
19_20,Saojose,2,Plateau,100,2,1,Dessic,"0,000"
19_20,Saojose,2,Plateau,100,2,1,Infert,"0,000"
19_20,Saojose,2,Plateau,100,2,1,Dislodg,"0,000"
19_20,Saojose,2,Plateau,100,2,1,Unknown,"0,414"
19_20,Saojose,1,Plateau,5,1,2,Pred,"0,404"
19_20,Saojose,1,Plateau,5,1,2,Dessic,"0,135"
19_20,Saojose,1,Plateau,5,1,2,Infert,"0,000"
19_20,Saojose,1,Plateau,5,1,2,Dislodg,"0,000"
19_20,Saojose,1,Plateau,5,1,2,Unknown,"0,000"
19_20,Saojose,1,Plateau,100,1,2,Pred,"0,681"
19_20,Saojose,1,Plateau,100,1,2,Dessic,"0,007"
19_20,Saojose,1,Plateau,100,1,2,Infert,"0,000"
19_20,Saojose,1,Plateau,100,1,2,Dislodg,"0,000"
19_20,Saojose,1,Plateau,100,1,2,Unknown,"0,021"
19_20,Saojose,2,Plateau,5,2,2,Pred,"0,379"
19_20,Saojose,2,Plateau,5,2,2,Dessic,"0,090"
19_20,Saojose,2,Plateau,5,2,2,Infert,"0,003"
19_20,Saojose,2,Plateau,5,2,2,Dislodg,"0,000"
19_20,Saojose,2,Plateau,5,2,2,Unknown,"0,194"
19_20,Saojose,2,Plateau,100,2,2,Pred,"0,361"
19_20,Saojose,2,Plateau,100,2,2,Dessic,"0,132"
19_20,Saojose,2,Plateau,100,2,2,Infert,"0,000"
19_20,Saojose,2,Plateau,100,2,2,Dislodg,"0,000"
19_20,Saojose,2,Plateau,100,2,2,Unknown,"0,000"
20_21,Palmital,8,Galeria,5,1,1,Pred,"0,624"
20_21,Palmital,8,Galeria,5,1,1,Dessic,"0,048"
20_21,Palmital,8,Galeria,5,1,1,Infert,"0,000"
20_21,Palmital,8,Galeria,5,1,1,Dislodg,"0,000"
20_21,Palmital,8,Galeria,5,1,1,Unknown,"0,000"
20_21,Palmital,8,Galeria,5,1,1,Paras,"0,000"
20_21,Palmital,8,Galeria,100,1,1,Pred,"0,000"
20_21,Palmital,8,Galeria,100,1,1,Dessic,"0,124"
20_21,Palmital,8,Galeria,100,1,1,Infert,"0,000"
20_21,Palmital,8,Galeria,100,1,1,Dislodg,"0,000"
20_21,Palmital,8,Galeria,100,1,1,Unknown,"0,000"
20_21,Palmital,8,Galeria,100,1,1,Paras,"0,000"
20_21,Palmital,6,Galeria,5,2,1,Pred,"0,000"
20_21,Palmital,6,Galeria,5,2,1,Dessic,"0,322"
20_21,Palmital,6,Galeria,5,2,1,Infert,"0,009"
20_21,Palmital,6,Galeria,5,2,1,Dislodg,"0,000"
20_21,Palmital,6,Galeria,5,2,1,Unknown,"0,369"
20_21,Palmital,6,Galeria,5,2,1,Paras,"0,000"
20_21,Palmital,6,Galeria,100,2,1,Pred,"0,312"
20_21,Palmital,6,Galeria,100,2,1,Dessic,"0,102"
20_21,Palmital,6,Galeria,100,2,1,Infert,"0,000"
20_21,Palmital,6,Galeria,100,2,1,Dislodg,"0,000"
20_21,Palmital,6,Galeria,100,2,1,Unknown,"0,000"
20_21,Palmital,6,Galeria,100,2,1,Paras,"0,000"
20_21,Palmital,22,Plateau,5,3,2,Pred,"0,000"
20_21,Palmital,22,Plateau,5,3,2,Dessic,"0,212"
20_21,Palmital,22,Plateau,5,3,2,Infert,"0,005"
20_21,Palmital,22,Plateau,5,3,2,Dislodg,"0,000"
20_21,Palmital,22,Plateau,5,3,2,Unknown,"0,000"
20_21,Palmital,22,Plateau,5,3,2,Paras,"0,000"
20_21,Palmital,22,Plateau,100,3,2,Pred,"0,000"
20_21,Palmital,22,Plateau,100,3,2,Dessic,"0,043"
20_21,Palmital,22,Plateau,100,3,2,Infert,"0,154"
20_21,Palmital,22,Plateau,100,3,2,Dislodg,"0,000"
20_21,Palmital,22,Plateau,100,3,2,Unknown,"0,000"
20_21,Palmital,22,Plateau,100,3,2,Paras,"0,000"
20_21,Palmital,8,Galeria,5,1,2,Pred,"0,000"
20_21,Palmital,8,Galeria,5,1,2,Dessic,"0,120"
20_21,Palmital,8,Galeria,5,1,2,Infert,"0,003"
20_21,Palmital,8,Galeria,5,1,2,Dislodg,"0,000"
20_21,Palmital,8,Galeria,5,1,2,Unknown,"0,000"
20_21,Palmital,8,Galeria,5,1,2,Paras,"0,000"
20_21,Palmital,8,Galeria,100,1,2,Pred,"0,000"
20_21,Palmital,8,Galeria,100,1,2,Dessic,"0,339"
20_21,Palmital,8,Galeria,100,1,2,Infert,"0,016"
20_21,Palmital,8,Galeria,100,1,2,Dislodg,"0,000"
20_21,Palmital,8,Galeria,100,1,2,Unknown,"0,000"
20_21,Palmital,8,Galeria,100,1,2,Paras,"0,000"
20_21,Palmital,6,Galeria,5,2,2,Pred,"0,000"
20_21,Palmital,6,Galeria,5,2,2,Dessic,"0,223"
20_21,Palmital,6,Galeria,5,2,2,Infert,"0,021"
20_21,Palmital,6,Galeria,5,2,2,Dislodg,"0,000"
20_21,Palmital,6,Galeria,5,2,2,Unknown,"0,000"
20_21,Palmital,6,Galeria,5,2,2,Paras,"0,000"
20_21,Palmital,6,Galeria,100,2,2,Pred,"0,212"
20_21,Palmital,6,Galeria,100,2,2,Dessic,"0,189"
20_21,Palmital,6,Galeria,100,2,2,Infert,"0,121"
20_21,Palmital,6,Galeria,100,2,2,Dislodg,"0,000"
20_21,Palmital,6,Galeria,100,2,2,Unknown,"0,000"
20_21,Palmital,6,Galeria,100,2,2,Paras,"0,000"
20_21,SaoJose,21,Galeria,5,4,2,Pred,"0,347"
20_21,SaoJose,21,Galeria,5,4,2,Dessic,"0,044"
20_21,SaoJose,21,Galeria,5,4,2,Infert,"0,000"
20_21,SaoJose,21,Galeria,5,4,2,Dislodg,"0,000"
20_21,SaoJose,21,Galeria,5,4,2,Unknown,"0,282"
20_21,SaoJose,21,Galeria,5,4,2,Paras,"0,000"
20_21,SaoJose,21,Galeria,100,4,2,Pred,"0,376"
20_21,SaoJose,21,Galeria,100,4,2,Dessic,"0,059"
20_21,SaoJose,21,Galeria,100,4,2,Infert,"0,013"
20_21,SaoJose,21,Galeria,100,4,2,Dislodg,"0,000"
20_21,SaoJose,21,Galeria,100,4,2,Unknown,"0,000"
20_21,SaoJose,21,Galeria,100,4,2,Paras,"0,127"
20_21,SaoJose,1,Plateau,5,1,1,Pred,"1,000"
20_21,SaoJose,1,Plateau,5,1,1,Dessic,"0,000"
20_21,SaoJose,1,Plateau,5,1,1,Infert,"0,000"
20_21,SaoJose,1,Plateau,5,1,1,Dislodg,"0,000"
20_21,SaoJose,1,Plateau,5,1,1,Unknown,"0,000"
20_21,SaoJose,1,Plateau,5,1,1,Paras,"0,000"
20_21,SaoJose,1,Plateau,100,1,1,Pred,"0,134"
20_21,SaoJose,1,Plateau,100,1,1,Dessic,"0,095"
20_21,SaoJose,1,Plateau,100,1,1,Infert,"0,000"
20_21,SaoJose,1,Plateau,100,1,1,Dislodg,"0,000"
20_21,SaoJose,1,Plateau,100,1,1,Unknown,"0,000"
20_21,SaoJose,1,Plateau,100,1,1,Paras,"0,000"
20_21,SaoJose,2,Plateau,5,2,1,Pred,"1,000"
20_21,SaoJose,2,Plateau,5,2,1,Dessic,"0,000"
20_21,SaoJose,2,Plateau,5,2,1,Infert,"0,000"
20_21,SaoJose,2,Plateau,5,2,1,Dislodg,"0,000"
20_21,SaoJose,2,Plateau,5,2,1,Unknown,"0,000"
20_21,SaoJose,2,Plateau,5,2,1,Paras,"0,000"
20_21,SaoJose,2,Plateau,100,2,1,Pred,"0,351"
20_21,SaoJose,2,Plateau,100,2,1,Dessic,"0,018"
20_21,SaoJose,2,Plateau,100,2,1,Infert,"0,000"
20_21,SaoJose,2,Plateau,100,2,1,Dislodg,"0,000"
20_21,SaoJose,2,Plateau,100,2,1,Unknown,"0,366"
20_21,SaoJose,2,Plateau,100,2,1,Paras,"0,000"
20_21,SaoJose,1,Plateau,5,1,2,Pred,"0,010"
20_21,SaoJose,1,Plateau,5,1,2,Dessic,"0,102"
20_21,SaoJose,1,Plateau,5,1,2,Infert,"0,010"
20_21,SaoJose,1,Plateau,5,1,2,Dislodg,"0,000"
20_21,SaoJose,1,Plateau,5,1,2,Unknown,"0,000"
20_21,SaoJose,1,Plateau,5,1,2,Paras,"0,000"
20_21,SaoJose,1,Plateau,100,1,2,Pred,"0,286"
20_21,SaoJose,1,Plateau,100,1,2,Dessic,"0,033"
20_21,SaoJose,1,Plateau,100,1,2,Infert,"0,007"
20_21,SaoJose,1,Plateau,100,1,2,Dislodg,"0,000"
20_21,SaoJose,1,Plateau,100,1,2,Unknown,"0,354"
20_21,SaoJose,1,Plateau,100,1,2,Paras,"0,000"
20_21,SaoJose,2,Plateau,5,2,2,Pred,"0,000"
20_21,SaoJose,2,Plateau,5,2,2,Dessic,"0,290"
20_21,SaoJose,2,Plateau,5,2,2,Infert,"0,004"
20_21,SaoJose,2,Plateau,5,2,2,Dislodg,"0,000"
20_21,SaoJose,2,Plateau,5,2,2,Unknown,"0,330"
20_21,SaoJose,2,Plateau,5,2,2,Paras,"0,000"
20_21,SaoJose,2,Plateau,100,2,2,Pred,"1,000"
20_21,SaoJose,2,Plateau,100,2,2,Dessic,"0,000"
20_21,SaoJose,2,Plateau,100,2,2,Infert,"0,000"
20_21,SaoJose,2,Plateau,100,2,2,Dislodg,"0,000"
20_21,SaoJose,2,Plateau,100,2,2,Unknown,"0,000"
20_21,SaoJose,2,Plateau,100,2,2,Paras,"0,000"
19_20,Palmital,6,Galeria,5,na,na,Unknown,"0,995"
19_20,Palmital,6,Galeria,5,na,na,Drowning,0
19_20,Palmital,6,Galeria,100,na,na,Unknown,"0,997"
19_20,Palmital,6,Galeria,100,na,na,Drowning,0
19_20,Palmital,8,Galeria,5,na,na,Unknown,"0,988"
19_20,Palmital,8,Galeria,5,na,na,Drowning,"0,005"
19_20,Palmital,8,Galeria,100,na,na,Unknown,"0,975"
19_20,Palmital,8,Galeria,100,na,na,Drowning,"0,008"
19_20,SaoJose,1,Plateau,5,na,na,Unknown,"0,979"
19_20,SaoJose,1,Plateau,5,na,na,Drowning,"0,013"
19_20,SaoJose,1,Plateau,100,na,na,Unknown,"0,988"
19_20,SaoJose,1,Plateau,100,na,na,Drowning,"0,004"
19_20,SaoJose,2,Plateau,5,na,na,Unknown,"0,992"
19_20,SaoJose,2,Plateau,5,na,na,Drowning,"0,004"
19_20,SaoJose,2,Plateau,100,na,na,Unknown,"0,983"
19_20,SaoJose,2,Plateau,100,na,na,Drowning,"0,008"
20_21,Palmital,22,Plateau,5,na,na,Unknown,"0,983"
20_21,Palmital,22,Plateau,5,na,na,Drowning,"0,001"
20_21,Palmital,22,Plateau,5,na,na,Predation,"0,003"
20_21,Palmital,22,Plateau,5,na,na,Parasitism,0
20_21,Palmital,22,Plateau,100,na,na,Unknown,"0,992"
20_21,Palmital,22,Plateau,100,na,na,Drowning,"0,003"
20_21,Palmital,22,Plateau,100,na,na,Predation,0
20_21,Palmital,22,Plateau,100,na,na,Parasitism,0
20_21,Palmital,8,Galeria,5,na,na,Unknown,"0,991"
20_21,Palmital,8,Galeria,5,na,na,Drowning,"0,003"
20_21,Palmital,8,Galeria,5,na,na,Predation,0
20_21,Palmital,8,Galeria,5,na,na,Parasitism,0
20_21,Palmital,8,Galeria,100,na,na,Unknown,"0,942"
20_21,Palmital,8,Galeria,100,na,na,Drowning,"0,008"
20_21,Palmital,8,Galeria,100,na,na,Predation,0
20_21,Palmital,8,Galeria,100,na,na,Parasitism,0
20_21,SaoJose,1,Plateau,5,na,na,Unknown,"0,942"
20_21,SaoJose,1,Plateau,5,na,na,Drowning,"0,008"
20_21,SaoJose,1,Plateau,5,na,na,Predation,0
20_21,SaoJose,1,Plateau,5,na,na,Parasitism,0
20_21,SaoJose,1,Plateau,100,na,na,Unknown,"0,988"
20_21,SaoJose,1,Plateau,100,na,na,Drowning,"0,003"
20_21,SaoJose,1,Plateau,100,na,na,Predation,0
20_21,SaoJose,1,Plateau,100,na,na,Parasitism,0
20_21,SaoJose,21,Galeria,5,na,na,Unknown,"0,955"
20_21,SaoJose,21,Galeria,5,na,na,Drowning,"0,005"
20_21,SaoJose,21,Galeria,5,na,na,Predation,0
20_21,SaoJose,21,Galeria,5,na,na,Parasitism,0
20_21,SaoJose,21,Galeria,100,na,na,Unknown,"0,936"
20_21,SaoJose,21,Galeria,100,na,na,Drowning,"0,006"
20_21,SaoJose,21,Galeria,100,na,na,Predation,0
20_21,SaoJose,21,Galeria,100,na,na,Parasitism,"0,003"